id,make,model,year,number,date
504,Chevrolet,SSR,2003,79,1/20/2020
505,Infiniti,Q,1992,40,4/5/2019
506,Jeep,Compass,2007,16,7/15/2019
507,Porsche,Cayman,2011,36,11/29/2020
508,Ford,Freestyle,2005,73,5/12/2019
509,Mazda,MX-5,2001,38,2/27/2019
510,Toyota,Sequoia,2009,39,5/27/2019
511,Ford,Aspire,1997,78,12/31/2020
512,Land Rover,Range Rover Sport,2010,9,1/11/2020
513,Ford,Econoline E350,2001,22,7/4/2019
514,Toyota,Celica,2005,8,3/1/2019
515,Oldsmobile,Aurora,2001,71,2/4/2019
516,Mercury,Sable,1992,10,4/17/2020
517,Nissan,Pathfinder,2005,46,11/8/2019
518,Volvo,S40,2009,96,8/1/2020
519,Toyota,Highlander,2008,38,8/19/2019
520,Dodge,Neon,2001,80,8/11/2019
521,GMC,Yukon XL 1500,2008,69,2/22/2019
522,Jaguar,XJ Series,2001,59,8/5/2020
523,Nissan,Maxima,2004,28,2/10/2021
524,Maserati,Coupe,2005,50,4/16/2020
525,Dodge,Caravan,2007,73,11/10/2020
526,Mercedes-Benz,SL-Class,2000,85,7/4/2020
527,Ford,Bronco,1986,67,3/13/2020
528,Chevrolet,Express 3500,2008,20,8/22/2020
529,Mercedes-Benz,S-Class,2006,39,3/19/2020
530,Volvo,S40,2001,66,9/14/2019
531,Maserati,GranSport,2005,1,4/12/2019
532,Dodge,Viper,2005,45,1/4/2021
533,Buick,LaCrosse,2009,77,4/22/2019
534,Chevrolet,Express 3500,2012,36,2/28/2019
535,Buick,Century,1991,67,3/10/2019
536,Land Rover,Discovery,2002,35,6/27/2020
537,Mercury,Tracer,1991,12,11/30/2020
538,Lexus,LS,2005,79,4/13/2020
539,Lotus,Evora,2011,90,3/5/2020
540,Chevrolet,Blazer,1996,57,3/3/2019
541,MINI,Cooper Clubman,2008,93,2/14/2020
542,Ferrari,458 Italia,2012,81,2/9/2019
543,Isuzu,Ascender,2009,13,11/16/2020
544,Hyundai,Veracruz,2011,56,7/23/2020
545,Acura,RSX,2003,50,6/3/2019
546,Ford,Contour,1998,23,1/6/2020
547,Audi,Cabriolet,1997,35,4/11/2019
548,Cadillac,Seville,2000,94,4/20/2019
549,Nissan,Sentra,2008,41,11/3/2020
550,Pontiac,Montana,2003,89,1/1/2020
551,Mercedes-Benz,SLR McLaren,2005,73,11/9/2020
552,Suzuki,Grand Vitara,2004,64,12/23/2019
553,Buick,Riviera,1985,18,10/15/2019
554,Chevrolet,Lumina,1996,22,9/10/2019
555,Plymouth,Voyager,1994,78,3/12/2020
556,Pontiac,Sunfire,1995,63,11/1/2020
557,Oldsmobile,Aurora,2001,42,11/11/2019
558,Plymouth,Prowler,2000,61,10/27/2019
559,Toyota,FJ Cruiser,2008,16,6/25/2019
560,Ford,F350,2010,8,4/11/2019
561,Mercedes-Benz,M-Class,2003,56,6/4/2019
562,Audi,A6,1996,53,3/24/2020
563,Cadillac,SRX,2007,60,8/25/2020
564,Maybach,62,2003,100,11/29/2019
565,Dodge,Ram Van 3500,1999,61,1/15/2021
566,Lexus,GS,1995,8,8/16/2020
567,GMC,Savana 1500,1998,71,8/25/2020
568,BMW,X5,2008,17,9/20/2019
569,BMW,Z4 M,2007,55,6/13/2020
570,Ford,LTD Crown Victoria,1986,64,3/28/2019
571,Chevrolet,Impala,2011,53,1/8/2021
572,GMC,Envoy,2006,4,9/17/2020
573,Subaru,Forester,2007,26,12/22/2019
574,Mercury,Mariner,2007,72,5/16/2020
575,Buick,Rendezvous,2003,49,3/18/2020
576,Chevrolet,Silverado 2500,2012,35,9/30/2019
577,Ford,Escort,2001,45,1/28/2021
578,Pontiac,G5,2007,38,1/28/2020
579,Mitsubishi,Eclipse,2000,46,7/30/2020
580,Oldsmobile,Regency,1997,29,8/10/2020
581,Cadillac,CTS-V,2006,23,10/31/2020
582,Kia,Sephia,1994,52,2/18/2019
583,Chevrolet,Corvette,1973,18,2/8/2019
584,Dodge,Ram Van B250,1994,15,4/25/2020
585,Toyota,Yaris,2008,4,3/17/2020
586,Cadillac,Escalade,2002,46,11/2/2020
587,Land Rover,Range Rover Sport,2010,58,3/2/2020
588,Cadillac,DeVille,2005,83,2/1/2019
589,Buick,Rainier,2006,74,2/16/2020
590,Infiniti,G,1995,7,8/3/2019
591,Saturn,L-Series,2004,83,1/16/2020
592,Land Rover,Range Rover Sport,2008,13,2/6/2021
593,Nissan,Frontier,1999,8,3/26/2019
594,Ferrari,599 GTB Fiorano,2008,51,7/2/2020
595,Lincoln,Mark LT,2007,6,3/31/2019
596,GMC,Sierra,2012,73,5/25/2019
597,Lincoln,MKX,2011,14,2/25/2019
598,Mercury,Grand Marquis,1991,15,1/30/2020
599,Volvo,XC70,2009,33,12/7/2020
600,Porsche,928,1989,1,4/18/2020
601,Ford,F150,1998,87,3/31/2020
602,BMW,325,2006,77,6/5/2020
603,Nissan,Sentra,1997,12,8/1/2019
604,Dodge,Nitro,2010,92,8/6/2020
605,Chrysler,Town & Country,2009,93,1/6/2021
606,GMC,2500,1999,51,8/4/2019
607,Hyundai,Sonata,2001,76,10/19/2019
608,Mercedes-Benz,C-Class,2009,12,11/5/2020
609,Lexus,IS-F,2012,87,5/17/2019
610,MINI,Cooper Countryman,2011,45,4/26/2019
611,Dodge,Ram Van 3500,1995,42,6/2/2020
612,Buick,LaCrosse,2010,1,10/7/2019
613,BMW,X6,2012,83,1/26/2020
614,Lexus,RX,2008,18,8/21/2019
615,Ford,Focus,2009,28,1/18/2021
616,Geo,Tracker,1997,93,8/14/2019
617,Chrysler,Concorde,1994,46,7/15/2020
618,Chevrolet,Express 3500,2002,90,10/6/2019
619,Mazda,Mazda5,2010,40,10/19/2019
620,Volvo,850,1995,100,9/10/2020
621,GMC,Sierra 3500,2006,6,4/15/2019
622,Hyundai,Elantra,2006,42,4/20/2019
623,Mazda,MPV,2004,2,10/28/2020
624,Chrysler,Voyager,2003,79,8/1/2020
625,Audi,A4,2008,56,9/6/2019
626,Nissan,Sentra,2004,27,7/5/2019
627,Mercury,Milan,2006,30,3/19/2019
628,Nissan,Sentra,2010,95,10/5/2019
629,Lexus,LS,1992,52,8/18/2019
630,Chevrolet,Corvette,2004,93,5/14/2020
631,Mercedes-Benz,M-Class,2001,47,2/21/2021
632,BMW,5 Series,2005,73,8/12/2019
633,Maserati,Quattroporte,2012,95,1/20/2021
634,Maserati,Karif,1990,24,10/10/2020
635,Porsche,Boxster,2009,64,8/26/2020
636,Lexus,GS,1997,59,10/29/2019
637,Ford,F250,2004,29,5/3/2020
638,Mazda,Tribute,2005,63,8/11/2019
639,Toyota,Corolla,1994,25,7/21/2020
640,Chevrolet,Cavalier,2002,25,7/26/2020
641,Lexus,ES,1990,56,3/12/2019
642,Audi,A8,2010,85,3/6/2019
643,Toyota,RAV4,2001,42,1/5/2021
644,Bentley,Arnage,2005,55,12/19/2020
645,Ford,Mustang,2003,91,5/3/2020
646,Ford,Mustang,2012,86,9/6/2019
647,Eagle,Talon,1995,55,6/12/2019
648,Chevrolet,Lumina,2000,99,11/7/2020
649,Lincoln,MKT,2013,36,3/17/2020
650,Lexus,HS,2010,6,4/10/2019
651,Dodge,Dakota Club,2005,14,5/16/2019
652,Porsche,911,2000,13,8/9/2020
653,Ford,Thunderbird,1984,99,4/14/2020
654,Audi,5000CS Quattro,1986,48,5/2/2020
655,Porsche,924,1988,43,5/3/2020
656,GMC,Safari,1997,68,4/24/2020
657,Chrysler,PT Cruiser,2010,84,1/12/2021
658,Maybach,Landaulet,2011,25,2/4/2021
659,Honda,Prelude,1985,59,10/3/2019
660,Mitsubishi,Outlander,2011,97,8/18/2020
661,Maserati,Biturbo,1984,83,11/1/2019
662,Chevrolet,Silverado,2009,67,3/9/2020
663,Toyota,Celica,1993,31,6/1/2019
664,Ford,F450,2008,35,9/22/2019
665,Lincoln,Continental,1991,94,1/28/2021
666,Suzuki,Swift,2006,9,8/30/2020
667,Chevrolet,Caprice,1994,7,9/7/2019
668,BMW,X6,2009,8,5/16/2019
669,Chevrolet,2500,1992,61,2/26/2020
670,Hyundai,Tiburon,2007,87,11/29/2019
671,BMW,7 Series,1998,86,7/24/2019
672,Audi,Q7,2011,51,1/29/2020
673,Infiniti,G,2012,40,2/20/2020
674,Mercedes-Benz,CL-Class,2006,98,11/30/2020
675,Maybach,57S,2005,16,5/4/2019
676,Dodge,Grand Caravan,1999,62,10/26/2020
677,Pontiac,Bonneville,2001,10,8/1/2020
678,Buick,Century,1988,34,5/28/2020
679,Maybach,62,2010,88,8/28/2019
680,Ford,E350,2006,100,9/10/2020
681,Nissan,Pathfinder,2012,70,5/18/2019
682,Chevrolet,1500,1994,39,8/1/2020
683,Mazda,MX-6,1990,99,8/5/2020
684,Maybach,Landaulet,2009,44,4/26/2019
685,BMW,325,2004,53,8/26/2020
686,BMW,6 Series,1989,7,11/6/2019
687,Chevrolet,Tahoe,2011,71,3/10/2019
688,Lexus,GS,1995,33,10/4/2020
689,Hyundai,Scoupe,1993,31,4/18/2019
690,Suzuki,Grand Vitara,2010,54,4/20/2020
691,Toyota,T100,1998,86,5/14/2020
692,GMC,Canyon,2008,85,1/13/2020
693,GMC,Yukon XL 2500,2003,56,4/4/2020
694,Subaru,Justy,1992,57,10/24/2020
695,Honda,Insight,2010,73,3/13/2019
696,Pontiac,Tempest,1965,6,8/23/2020
697,Volkswagen,Golf,1983,97,10/19/2020
698,Chrysler,PT Cruiser,2005,31,8/26/2019
699,Mitsubishi,Diamante,2003,8,3/26/2020
700,Lamborghini,Countach,1990,8,9/29/2020
701,Chevrolet,Silverado 3500,2002,17,10/23/2020
702,Dodge,Nitro,2008,78,3/11/2020
703,Chrysler,PT Cruiser,2001,58,5/9/2019
704,Lamborghini,Murciélago,2009,58,4/30/2020
705,BMW,Z3,2001,77,8/14/2020
706,Chrysler,Town & Country,2003,60,12/16/2020
707,Pontiac,1000,1985,24,3/21/2019
708,Chevrolet,Avalanche 2500,2005,34,7/1/2019
709,Dodge,Caravan,2003,32,5/9/2019
710,Hyundai,Sonata,2008,84,4/12/2020
711,Mazda,Millenia,1996,6,4/14/2020
712,Isuzu,Rodeo,1997,48,1/30/2020
713,Nissan,350Z,2003,4,3/22/2019
714,Audi,100,1990,37,3/28/2019
715,Volvo,V70,1999,58,11/15/2020
716,Saturn,S-Series,1999,29,5/1/2020
717,Ford,Fiesta,2011,37,8/14/2020
718,Mercedes-Benz,C-Class,1993,96,1/28/2020
719,Audi,80,1992,37,12/23/2019
720,Mitsubishi,Cordia,1987,98,12/15/2019
721,Toyota,Tercel,1992,16,9/2/2020
722,Porsche,911,2010,50,5/16/2019
723,Mercedes-Benz,400SE,1992,55,2/15/2021
724,Mitsubishi,Galant,2010,31,7/20/2020
725,Audi,A4,2007,1,8/16/2020
726,Infiniti,Q,1992,28,6/20/2019
727,Chevrolet,Camaro,1968,36,10/29/2020
728,Cadillac,Escalade,2012,53,6/3/2020
729,Audi,A6,1995,95,2/11/2020
730,Aston Martin,V8 Vantage,2008,24,9/4/2020
731,Oldsmobile,Cutlass,1999,53,7/23/2019
732,Porsche,944,1985,95,10/5/2019
733,Toyota,Camry Solara,2007,46,7/5/2020
734,Toyota,Celica,1997,95,1/7/2020
735,Infiniti,G,1996,7,4/25/2020
736,Honda,del Sol,1997,70,4/25/2019
737,Volkswagen,Cabriolet,1991,38,2/13/2021
738,GMC,Savana 1500,2000,97,12/27/2019
739,Toyota,Previa,1991,46,10/1/2019
740,Mercury,Tracer,1998,27,10/27/2020
741,Aston Martin,DBS,2010,28,8/30/2020
742,Pontiac,Grand Prix,1982,44,10/19/2019
743,Infiniti,Q,1999,87,1/11/2020
744,Honda,Accord,2002,81,5/3/2019
745,Chrysler,300,1999,29,7/3/2020
746,Land Rover,Range Rover,2001,52,12/26/2019
747,Infiniti,M,2009,9,10/14/2019
748,Pontiac,Grand Am,1993,93,10/20/2020
749,Lincoln,MKS,2012,18,3/2/2019
750,Acura,NSX,1998,69,7/2/2019
751,Saturn,Astra,2009,68,5/27/2020
752,Audi,Cabriolet,1997,77,2/26/2019
753,Ford,Thunderbird,1983,1,3/2/2020
754,Honda,CR-V,2007,62,5/8/2020
755,Ford,Econoline E250,1992,9,1/19/2021
756,Cadillac,DTS,2006,23,6/11/2019
757,Oldsmobile,Intrigue,2000,50,2/16/2019
758,Dodge,Caravan,2001,76,1/29/2020
759,Chevrolet,Colorado,2010,80,11/15/2020
760,Saab,900,1994,9,10/25/2020
761,Toyota,Supra,1996,18,4/5/2019
762,Honda,Civic,1985,64,6/9/2020
763,Oldsmobile,Silhouette,2001,11,10/2/2019
764,BMW,750,2006,89,4/13/2020
765,Nissan,Xterra,2011,50,11/9/2020
766,Ford,F350,1993,83,6/18/2019
767,Aston Martin,DB9,2009,78,1/4/2020
768,Mercedes-Benz,E-Class,2008,54,1/20/2021
769,Chevrolet,Caprice Classic,1996,49,9/30/2019
770,Hummer,H3T,2010,60,8/22/2020
771,Mercedes-Benz,SLR McLaren,2008,28,7/31/2020
772,Ford,Escort,2001,73,3/20/2020
773,Suzuki,Aerio,2007,7,12/7/2020
774,GMC,Savana 2500,1996,32,1/31/2020
775,Toyota,Tercel,1993,23,2/8/2020
776,Mitsubishi,Lancer Evolution,2011,33,9/16/2019
777,Volvo,XC90,2007,95,3/23/2020
778,Mitsubishi,Mirage,1991,34,10/27/2020
779,Toyota,Tacoma,2010,90,4/29/2020
780,Buick,LeSabre,1999,9,2/6/2021
781,Cadillac,DeVille,1993,86,1/20/2021
782,GMC,Acadia,2007,93,7/22/2019
783,Chevrolet,Impala,2004,35,12/29/2020
784,Isuzu,Hombre Space,1997,56,12/7/2019
785,Mitsubishi,Diamante,2001,70,3/11/2019
786,Honda,Civic,2007,16,7/24/2019
787,Lamborghini,Murciélago,2006,19,2/14/2019
788,Volkswagen,Routan,2012,41,5/4/2020
789,Volvo,XC90,2011,72,2/1/2019
790,Ford,F-Series Super Duty,2007,35,10/22/2019
791,Buick,Enclave,2009,30,9/30/2020
792,Dodge,Avenger,2011,84,10/1/2020
793,BMW,7 Series,1997,42,12/25/2020
794,Infiniti,QX56,2009,21,6/8/2019
795,Chevrolet,Monte Carlo,2003,68,11/2/2020
796,Maybach,62,2009,18,5/18/2019
797,Nissan,Pathfinder,1999,63,7/30/2019
798,Dodge,Charger,2007,22,6/5/2019
799,Lotus,Esprit,2002,26,10/3/2019
800,Pontiac,Bonneville,1987,61,5/1/2019
801,Bentley,Mulsanne,2012,51,2/26/2019
802,Mitsubishi,Diamante,2002,22,6/19/2019
803,Ford,Econoline E350,2000,25,6/24/2019
804,Ford,Thunderbird,1997,91,4/2/2019
805,Saab,900,1992,35,7/1/2019
806,Pontiac,Firefly,1989,90,2/24/2019
807,Mitsubishi,Galant,1984,39,3/10/2019
808,BMW,600,1958,7,8/14/2020
809,Chevrolet,Corvette,1958,35,10/24/2020
810,Nissan,NV1500,2012,7,9/7/2020
811,Ford,Bronco,1985,99,9/4/2019
812,Toyota,TundraMax,2010,30,9/27/2019
813,Buick,Park Avenue,1993,44,9/11/2019
814,Lexus,LS,2003,89,1/9/2020
815,Ford,Explorer,2000,11,4/6/2019
816,Saturn,Outlook,2010,88,11/18/2019
817,Chrysler,Town & Country,2001,45,9/26/2020
818,Ford,Mustang,2011,2,1/29/2021
819,Ford,Taurus,1997,20,9/21/2019
820,Toyota,Sequoia,2012,73,2/20/2020
821,Mercury,Grand Marquis,1996,60,10/15/2019
822,Audi,TT,2009,86,3/2/2019
823,Dodge,Caravan,2000,46,7/22/2020
824,Chevrolet,HHR Panel,2006,63,10/22/2019
825,Mercedes-Benz,S-Class,2008,19,11/13/2020
826,Kia,Spectra,2008,54,9/21/2019
827,Mazda,B-Series,1988,100,3/14/2020
828,Jaguar,XK Series,2004,12,5/21/2020
829,Hyundai,Tucson,2012,30,5/15/2019
830,Cadillac,XLR,2008,90,9/7/2020
831,Honda,S2000,2008,67,6/2/2019
832,Land Rover,LR2,2009,13,8/15/2020
833,Ford,Thunderbird,1996,39,10/2/2019
834,Chevrolet,Suburban 1500,1996,45,4/25/2020
835,Buick,LeSabre,1986,19,10/23/2020
836,Nissan,Altima,1999,28,1/4/2021
837,Ford,EXP,1985,20,2/13/2019
838,Buick,Skylark,1990,66,9/17/2019
839,Morgan,Aero 8,2006,35,2/5/2020
840,Mitsubishi,Montero,1998,1,7/4/2020
841,Infiniti,QX,2006,18,7/24/2020
842,Lexus,LS,2005,41,4/4/2019
843,Oldsmobile,Achieva,1998,95,12/16/2020
844,Volkswagen,Eos,2010,64,11/30/2019
845,Pontiac,Torrent,2006,2,2/3/2021
846,Dodge,Viper,2003,56,11/14/2020
847,Subaru,Legacy,2007,43,6/20/2020
848,GMC,Terrain,2012,4,11/9/2020
849,Mercedes-Benz,W201,1987,10,7/11/2019
850,Dodge,Ram Van 1500,2002,55,3/5/2019
851,Mazda,RX-8,2005,27,10/29/2019
852,Chrysler,300,2005,7,9/24/2019
853,Mercury,Mountaineer,2004,86,7/25/2019
854,Chevrolet,Camaro,1969,75,12/29/2019
855,Pontiac,Trans Sport,1997,78,3/21/2020
856,GMC,Yukon XL 1500,2001,69,8/19/2020
857,Audi,5000S,1984,46,8/29/2020
858,Chevrolet,Corvette,1960,79,10/8/2019
859,Lexus,GS,2004,98,4/8/2019
860,Suzuki,SX4,2009,31,2/24/2019
861,Ford,Expedition,2007,49,2/15/2021
862,GMC,Sonoma Club,1992,57,4/19/2020
863,Infiniti,FX,2011,58,8/31/2019
864,Kia,Carens,2007,73,12/13/2019
865,Hummer,H3,2007,79,3/31/2019
866,Honda,CR-V,2008,57,5/3/2019
867,Nissan,NX,1992,84,5/28/2019
868,Dodge,Caravan,2005,58,7/26/2020
869,Mercedes-Benz,CL-Class,2004,99,10/9/2020
870,Cadillac,CTS,2009,9,4/16/2020
871,Toyota,Camry,1997,62,5/5/2019
872,Audi,Allroad,2004,95,5/3/2019
873,Acura,RDX,2012,74,10/25/2020
874,Infiniti,G,2012,5,10/18/2019
875,Dodge,Ram 3500,2009,39,2/22/2020
876,Subaru,Justy,1992,53,8/9/2019
877,Buick,LaCrosse,2012,34,9/22/2020
878,Mazda,RX-8,2011,96,11/20/2020
879,Saab,9-5,2010,61,6/29/2020
880,Ferrari,F430,2008,80,1/23/2020
881,Mercedes-Benz,W201,1987,6,11/6/2019
882,Lexus,GS,2001,50,8/1/2020
883,Honda,Insight,2011,32,8/6/2019
884,Chrysler,Town & Country,2004,94,11/15/2020
885,Dodge,Ram Van 2500,1995,12,5/10/2019
886,Pontiac,GTO,1969,49,9/14/2019
887,Mercedes-Benz,S-Class,1990,54,2/10/2019
888,Mazda,Miata MX-5,1993,17,5/9/2020
889,Chevrolet,Lumina,1999,60,7/25/2019
890,GMC,Jimmy,1997,39,3/10/2019
891,Plymouth,Neon,2000,39,4/8/2019
892,Dodge,Dakota,1998,36,10/13/2019
893,Mazda,MPV,1989,43,7/16/2020
894,Chevrolet,Malibu,2012,81,1/25/2021
895,Mitsubishi,Starion,1989,87,4/10/2020
896,Volvo,XC90,2007,71,7/13/2019
897,GMC,Sierra 3500,2002,55,2/17/2019
898,Infiniti,G,1993,13,3/20/2020
899,Suzuki,Samurai,1992,81,2/12/2019
900,Lexus,GS,2013,89,9/6/2020
901,Mazda,MX-3,1992,91,5/24/2019
902,Aptera,2e,2009,97,9/5/2020
903,Chevrolet,Corvette,1986,32,12/28/2020
904,Aston Martin,Virage,2012,62,1/23/2021
905,Chrysler,Crossfire,2005,88,9/15/2019
906,Chevrolet,Express 3500,1996,88,2/2/2021
907,Lexus,RX,1999,75,1/12/2021
908,Chevrolet,Tracker,2000,33,2/11/2021
909,Isuzu,i-370,2008,32,12/19/2019
910,Volvo,C70,2003,82,7/8/2019
911,Mercedes-Benz,GL-Class,2011,46,3/15/2020
912,Ford,ZX2,2002,19,12/9/2019
913,Chevrolet,Colorado,2007,49,3/26/2020
914,Cadillac,Escalade ESV,2005,22,10/21/2019
915,GMC,1500,1996,68,11/28/2020
916,Porsche,928,1988,87,9/16/2019
917,Acura,MDX,2009,84,12/9/2019
918,Daewoo,Nubira,2002,52,8/8/2019
919,Chevrolet,G-Series G20,1992,97,1/8/2021
920,Audi,A6,2000,45,6/17/2019
921,Cadillac,Allante,1992,67,11/2/2019
922,Ford,E-Series,2001,68,10/27/2019
923,Chevrolet,Silverado 1500,2005,3,1/24/2021
924,Nissan,Maxima,1996,84,1/17/2020
925,Lincoln,Continental,1984,3,11/12/2020
926,Jaguar,X-Type,2005,50,5/7/2019
927,Oldsmobile,88,1995,49,2/24/2020
928,Pontiac,6000,1991,72,9/8/2020
929,Chevrolet,Equinox,2006,61,4/10/2019
930,Subaru,XT,1987,87,8/15/2020
931,Porsche,Boxster,1997,6,8/14/2020
932,Dodge,Stealth,1996,15,3/16/2020
933,Toyota,Land Cruiser,1996,57,6/1/2020
934,Pontiac,Firebird,2002,97,6/10/2020
935,Ford,F250,1996,47,9/3/2020
936,Suzuki,SX4,2007,76,5/4/2019
937,Mercury,Cougar,1985,55,4/15/2019
938,Suzuki,Daewoo Lacetti,2005,53,2/18/2021
939,Buick,LeSabre,1989,1,9/13/2020
940,Ford,F-Series,1986,46,7/24/2020
941,GMC,Savana 1500,2007,35,5/18/2019
942,Infiniti,J,1993,44,8/10/2019
943,Citroën,2CV,1948,17,6/7/2020
944,Suzuki,Forenza,2008,70,12/7/2020
945,Jaguar,XK,2011,34,8/10/2019
946,Honda,Civic,1989,18,11/22/2020
947,Mercedes-Benz,SL-Class,1994,2,6/16/2019
948,Ford,Expedition,1997,1,10/16/2019
949,Eagle,Talon,1998,23,2/10/2021
950,Hyundai,Santa Fe,2012,68,2/15/2020
951,Chevrolet,Camaro,1999,43,3/4/2019
952,Chevrolet,3500,1999,60,6/8/2020
953,Land Rover,LR3,2005,48,8/18/2019
954,GMC,1500,1993,54,10/11/2020
955,Mercedes-Benz,SL-Class,1998,21,11/19/2019
956,Hyundai,Accent,1998,46,11/20/2019
957,Volkswagen,Touareg,2004,48,2/16/2019
958,Ford,F-Series,2003,28,2/6/2020
959,Ford,F-Series Super Duty,2007,19,5/13/2019
960,GMC,Sierra 2500,2002,43,7/6/2019
961,Lotus,Exige,2010,57,12/21/2020
962,Volkswagen,Type 2,1989,92,5/28/2019
963,Audi,S5,2012,56,6/30/2019
964,Mercedes-Benz,CL-Class,2007,38,8/16/2020
965,Ford,F350,2000,18,7/12/2019
966,BMW,525,2006,68,11/14/2019
967,Toyota,Sequoia,2006,27,1/31/2020
968,Mazda,Protege,1999,58,3/21/2020
969,Ford,Mustang,1980,73,7/14/2020
970,Dodge,Ram 50,1993,30,1/28/2021
971,Honda,Accord,2000,34,3/14/2019
972,Maybach,57,2007,53,10/26/2020
973,Mazda,MPV,1994,93,9/1/2020
974,Mercedes-Benz,300SD,1992,99,12/27/2019
975,Isuzu,Rodeo,1996,89,8/30/2019
976,Volvo,XC90,2012,33,1/27/2021
977,Mercedes-Benz,GL-Class,2009,11,9/15/2020
978,Lamborghini,Diablo,1996,88,10/11/2020
979,Toyota,Prius,2012,59,5/25/2019
980,Lotus,Esprit,1998,23,2/27/2019
981,Honda,CR-V,2009,33,3/30/2020
982,Honda,CR-V,2009,3,12/13/2020
983,Isuzu,Trooper,1996,76,11/18/2020
984,Buick,Electra,1984,85,5/30/2020
985,Chevrolet,Corvair,1960,11,2/22/2020
986,Subaru,Legacy,1990,64,9/20/2019
987,GMC,Envoy,2002,42,2/25/2020
988,Mitsubishi,Galant,2002,35,6/27/2020
989,Infiniti,QX,2003,44,7/18/2019
990,Lincoln,Town Car,1991,19,12/21/2020
991,Ford,Explorer Sport,2002,88,4/4/2020
992,Volkswagen,Scirocco,1985,2,11/26/2020
993,Ford,E-Series,1988,48,7/5/2019
994,Oldsmobile,Silhouette,1999,71,1/8/2020
995,Bentley,Continental GT,2008,90,1/22/2021
996,Buick,LeSabre,1987,53,7/11/2020
997,GMC,Yukon XL 2500,2012,85,7/11/2020
998,Ford,Mustang,1990,11,5/22/2020
999,Chevrolet,TrailBlazer,2004,88,4/8/2019
1000,Lamborghini,Gallardo,2005,39,7/3/2020
